Designator,Mid X,Mid Y,Layer,Rotation
C1,24.561,66.729,top,270
C10,58.5716,58,top,270
C11,54.8124,45.52,top,360
C12,95.6215,54.45275,top,180
C13,95.525,42.575,top,450
C14,85.902,61.827098,top,270
C15,86.918,61.846098,top,270
C16,18.079,77.317,top,180
C17,12,81,top,180
C18,16.854,78.333,top,360
C19,15.595,77.19,top,180
C2,33.197,66.602,top,270
C20,31.3586,77.290999,top,360
C21,37.4376,73.607999,top,360
C22,32.5836,76.274999,top,180
C23,33.8426,77.417999,top,360
C24,62.456852,83.053306,top,270
C25,56,81.5,top,180
C26,61.440852,81.828306,top,450
C27,62.583852,80.569306,top,270
C28,57.25,55.23,top,270
C29,59.5876,55.172,top,0
C3,17.0105,58.8255,top,360
C36,63.199,73.790951,top,270
C37,59.516,67.711951,top,270
C38,62.183,72.565951,top,450
C39,63.326,71.306951,top,270
C4,16.984,60.3495,top,360
C40,83.997,75.619,top,360
C41,90.076,71.936,top,360
C42,85.222,74.603,top,180
C43,86.481,75.746,top,360
C48,45.4398,31.5298,top,450
C49,50.587598,34.5752,top,450
C5,57.3016,57.25,top,270
C50,46.532,32.4924,top,270
C51,45.516,34.2196,top,450
C52,56.353398,34.822,top,270
C54,55.235798,33.8594,top,450
C55,56.327998,32.1572,top,270
C56,73.955598,36.5208,top,450
C57,77.054398,32.152,top,270
C58,74.920798,37.458,top,270
C59,74.057198,39.4952,top,450
C6,56.346,58.8395,top,180
C7,46.059,61.2525,top,180
C8,54.3874,46.79,top,360
C9,42.757,50.4855,top,270
D1,12.904,20.91,top,360
D2,11.744,9.273,top,360
D3,43.345,45.9264,top,180
D4,43.345,46.9424,top,180
D5,23.4864,54.2027,top,360
D6,95.5,39.17775,top,270
D7,90.3895,33.201,top,0
F1,7.2625,9.4,top,180
F2,11.25,17.35,top,270
J1,10.5,5,bottom,180
J10,24,83.525,bottom,360
J11,75.5,83.525,bottom,360
J12,75.5,73.9875,bottom,360
J13,75.5,78.8,bottom,360
J18,38.293,31.2064,top,450
J2,24.365,39.54,top,90
J20,66.116398,34.8292,top,270
J3,18.365,39.54,top,90
J4,33.832,39.1264,top,360
J5,74.75,70,bottom,180
J6,24,79.5,bottom,180
J7,2.521,53.8675,top,270
J8,95.5,31.5,bottom,270
J9,24.5,74.425,bottom,360
R10,33.9336,42.4212,top,180
R11,25.9268,54.2027,top,180
R12,6.146,47.933,top,450
R13,6.146,50.854,top,450
R14,6.146,53.902,top,450
R15,6.146,56.95,top,450
R16,6.146,60.0875,top,450
R17,97.4,44.80075,top,180
R18,93.6,44.80075,top,180
R19,79.679,59.696098,top,450
R2,13.57,18.028,top,450
R20,91.728,57.133098,top,450
R22,79.08,56.65,top,360
R23,90.228,55.458098,top,270
R24,12.028,74.777,top,180
R26,19.6588,72.444,top,180
R27,37.4096,79.830999,top,360
R29,31.9721,82.751999,top,180
R3,15.3,9.273,top,180
R30,59.994,77.016,top,180
R32,67.36,83.3152,top,360
R33,32.5,50.5,top,450
R34,32.5,53.5,top,270
R39,65.739,68.29,top,270
R4,40.93,45.9264,top,360
R41,68.63,73.968,top,270
R42,89.712001,78.159,top,360
R44,83.743001,81.207,top,270
R48,45.1604,38.7128,top,360
R5,40.932,46.9424,top,360
R50,40.563,35.995,top,270
R51,55.515198,30.402,top,180
R53,61.052398,35.4062,top,270
R54,73.9113,43.3864,top,180
R56,68.249,42.472,top,270
R6,12.2033,61.8776,top,180
R7,9.8036,61.8776,top,360
R8,71.9707,65.7384,top,360
R9,71.9707,66.8052,top,360
SW1,26.8724,63.9096,top,270
SW2,30.8856,63.8994,top,270
U1,10,10.895,bottom,180
U11,65.739,72.438951,top,90
U12,85.349,78.159,top,180
U14,43.098799,33.072399,top,270
U15,58.838397,33.344599,top,90
U16,71.618798,37.9432,top,270
U2,50,54,top,0
U3,17,53,top,180
U4,95.5,49.73525,top,180
U5,83.997,57.283098,top,270
U6,16.727,74.7776,top,0
U7,32.7106,79.830999,top,180
U8,64.996852,81.701306,top,90
